audio_path,audio_filename,subtitle,text_for_tts
\voice\lmu\class_info,1.wav,"Hypercar davanti a te, fai attenzione","Hypercar davanti a te, fai attenzione"
\voice\lmu\class_info,2.wav,"LMDh in arrivo da dietro, lascia spazio","elleemmedieacca in arrivo da dietro, lascia spazio"
\voice\lmu\class_info,3.wav,"LMP2 davanti, ti sta per sdoppiare","elleemmepidue davanti, ti sta per sdoppiare"
\voice\lmu\class_info,4.wav,"LMGT3 più lenta davanti, preparati a doppiare","elleemmegititre lenta davanti, preparati a doppiare"
\voice\lmu\class_info,5.wav,"traffico di GT davanti, attenzione al doppiaggio","traffico di giTi davanti, attenzione al doppiaggio"
\voice\lmu\class_info,6.wav,"Hypercar in avvicinamento, lascia passare","Hypercar in avvicinamento, lascia passare"
\voice\lmu\class_info,7.wav,"gruppo di LMP2 davanti, cerca spazio pulito","elleemmepidue davanti, cerca spazio pulito"
\voice\lmu\class_info,8.wav,"macchina di un'altra classe in lotta, stai attento","macchina di un'altra classe in lotta, stai attento"
\voice\lmu\endurance,1.wav,"gestisci le gomme, lo stint è lungo","gestisci le gomme, lo stint è lungo"
\voice\lmu\endurance,2.wav,prossimo cambio pilota tra due giri,prossimo cambio pilota tra due giri
\voice\lmu\endurance,3.wav,"preparati al pit stop, cambio gomme e rifornimento","preparati al pit stop, cambio gomme e rifornimento"
\voice\lmu\endurance,4.wav,"stint lungo, conserva le gomme posteriori","stint lungo, conserva le gomme posteriori"
\voice\lmu\endurance,5.wav,"siamo a metà stint, le gomme reggono bene","siamo a metà stint, le gomme reggono bene"
\voice\lmu\endurance,6.wav,"finestra pit aperta, rientri al prossimo giro","finestra pit aperta, rientri al prossimo giro"
\voice\lmu\endurance,7.wav,"cambio pilota completato, stint pulito davanti","cambio pilota completato, stint pulito davanti"
\voice\lmu\endurance,8.wav,"doppio stint con queste gomme, gestiscile bene","doppio stint con queste gomme, gestiscile bene"
\voice\lmu\night_stint,1.wav,"si sta facendo buio, accendi i fari","si sta facendo buio, accendi i fari"
\voice\lmu\night_stint,2.wav,"stint notturno, attenzione alla visibilità ridotta","stint notturno, attenzione alla visibilità ridotta"
\voice\lmu\night_stint,3.wav,"occhio alle zone d'ombra, frena con anticipo","occhio alle zone d'ombra, frena con anticipo"
\voice\lmu\night_stint,4.wav,"la pista è più fredda di notte, le gomme faticano","la pista è più fredda di notte, le gomme faticano"
\voice\lmu\night_stint,5.wav,"sta albeggiando, la visibilità migliora","sta albeggiando, la visibilità migliora"
\voice\lmu\night_stint,6.wav,"attenzione ai fari delle altre, non farti abbagliare","attenzione ai fari delle altre, non farti abbagliare"
\voice\lmu\night_stint,7.wav,"stint notturno quasi finito, tieni duro","stint notturno quasi finito, tieni duro"
\voice\lmu\weather,1.wav,"prime gocce di pioggia, potrebbe peggiorare","prime gocce di pioggia, potrebbe peggiorare"
\voice\lmu\weather,2.wav,"pioggia in aumento, valuta la sosta per le rain","pioggia in aumento, valuta la sosta per le rein"
\voice\lmu\weather,3.wav,"la pista si asciuga, prepariamoci a passare alle slick","pista si asciuga, prepariamoci per le slik"
\voice\lmu\weather,4.wav,"zone bagnate in curva, attenzione ai cordoli","zone bagnate in curva, attenzione ai cordoli"
\voice\lmu\weather,5.wav,"pista mista bagnato e asciutto, piano nelle zone umide","pista mista bagnato e asciutto, piano nelle zone umide"
\voice\lmu\weather,6.wav,"pioggia fra dieci minuti, prepariamoci","pioggia fra dieci minuti, prepariamoci"
\voice\lmu\weather,7.wav,"pioggia in calo, qualche giro e asciuga","pioggia in calo, qualche giro e asciuga"
\voice\lmu\energy_management,1.wav,usa il deploy in uscita di curva,usa il diploi in uscita di curva
\voice\lmu\energy_management,2.wav,"risparmia energia qui, ricarica la batteria","risparmia energia qui, ricarica la batteria"
\voice\lmu\energy_management,3.wav,"deploy disponibile, usalo nel rettilineo principale","diploi disponibile, usalo nel rettilineo"
\voice\lmu\energy_management,4.wav,"batteria bassa, modalita' ricarica per un giro","batteria bassa, modalita' ricarica per un giro"
\voice\lmu\energy_management,5.wav,"energia piena, puoi spingere col deploy","energia piena, puoi spingere col diploi"
\voice\lmu\energy_management,6.wav,"gestisci l'ibrido, non sprecare nelle curve lente","gestisci l'ibrido, non sprecare nelle curve lente"
\voice\lmu\energy_management,7.wav,"ottimo recupero energetico, continua cosi'","ottimo recupero energetico, continua cosi'"
